record_date,facility_id,region_type,blood_group,product_name,units_requested,current_inventory,forecast_demand,recommended_stock,inventory_gap,predicted_shortage_probability,shortage_risk_level,wastage_rate,expiry_risk,inventory_status,recommended_action
2023-04-01,BB_0074,peri_urban,O_neg,whole_blood,286,192.0,286.0,311.0,119.0,0.25,High,22.4,High,Adequate,Reorder Immediately
2023-08-01,BB_0074,urban,A_neg,fresh_frozen_plasma,271,178.0,271.0,296.8,118.8,0.25,High,19.66,Moderate,Recovered,Reorder Immediately
2023-09-01,BB_0040,peri_urban,O_neg,cryoprecipitate,280,189.0,280.0,307.8,118.8,0.28,High,14.29,Moderate,Recovered,Reorder Immediately
2024-03-01,BB_0135,urban,AB_pos,packed_RBC,292,202.0,292.0,320.7,118.7,0.25,Moderate,14.36,Moderate,Critical,Reorder Immediately
2022-12-01,BB_0065,peri_urban,AB_pos,packed_RBC,282,192.0,282.0,310.7,118.7,0.32,Critical,11.98,Low,Adequate,Reorder Immediately
2023-08-01,BB_0070,urban,AB_pos,fresh_frozen_plasma,272,179.0,272.0,297.6,118.6,0.22,Moderate,18.44,Moderate,Adequate,Reorder Immediately
2024-06-01,BB_0127,urban,A_pos,fresh_frozen_plasma,272,179.0,272.0,297.0,118.0,0.24,Moderate,5.59,Low,Adequate,Reorder Immediately
2023-06-01,BB_0027,peri_urban,A_neg,group_O_neg_emergency,276,184.0,276.0,301.2,117.2,0.35,Critical,16.3,Moderate,Adequate,Reorder Immediately
2023-04-01,BB_0078,peri_urban,A_neg,group_O_neg_emergency,262,170.0,262.0,287.2,117.2,0.25,Moderate,13.53,Low,Adequate,Reorder Immediately
2023-12-01,BB_0075,urban,O_neg,platelet_concentrate,269,180.0,269.0,296.9,116.9,0.28,High,14.44,Moderate,Adequate,Reorder Immediately
2022-07-01,BB_0093,rural,B_neg,platelet_concentrate,274,182.0,274.0,298.9,116.9,0.29,High,10.99,Low,Recovered,Reorder Immediately
2024-07-01,BB_0114,peri_urban,A_neg,fresh_frozen_plasma,260,169.0,260.0,285.8,116.8,0.21,Low,14.2,Moderate,Adequate,Reorder Immediately
2024-12-01,BB_0090,rural,AB_neg,fresh_frozen_plasma,265,178.0,265.0,294.7,116.7,0.2,Low,22.47,Moderate,Adequate,Reorder Immediately
2023-07-01,BB_0083,peri_urban,AB_pos,fresh_frozen_plasma,282,191.0,282.0,307.6,116.6,0.29,Critical,11.52,Low,Recovered,Reorder Immediately
2022-12-01,BB_0147,urban,O_neg,packed_RBC,282,193.0,282.0,309.5,116.5,0.24,Moderate,21.24,High,Low Stock,Reorder Immediately
2022-01-01,BB_0040,urban,A_neg,group_O_neg_emergency,282,191.0,282.0,307.2,116.2,0.28,High,17.8,Moderate,Low Stock,Reorder Immediately
2024-05-01,BB_0064,urban,B_pos,whole_blood,298,193.5,283.5,309.3,115.8,0.12,Low,21.7,High,Low Stock,Reorder Immediately
2024-12-01,BB_0061,peri_urban,AB_pos,fresh_frozen_plasma,244,154.0,244.0,269.6,115.6,0.27,High,16.88,Moderate,Low Stock,Reorder Immediately
2023-09-01,BB_0104,peri_urban,AB_pos,platelet_concentrate,277,185.0,277.0,300.6,115.6,0.22,Moderate,11.89,Low,Recovered,Reorder Immediately
2022-02-01,BB_0094,urban,O_neg,packed_RBC,281,193.0,281.0,308.5,115.5,0.3,Critical,20.73,High,Recovered,Reorder Immediately
2022-08-01,BB_0107,urban,A_neg,cryoprecipitate,282,190.0,282.0,305.5,115.5,0.23,Moderate,22.11,Moderate,Adequate,Reorder Immediately
2022-11-01,BB_0030,peri_urban,AB_pos,whole_blood,245,152.0,245.0,267.5,115.5,0.27,High,19.74,High,Critical,Reorder Immediately
2024-09-01,BB_0011,rural,O_neg,group_O_neg_emergency,270,181.0,270.0,296.0,115.0,0.2,Low,18.78,Moderate,Critical,Reorder Immediately
2022-02-01,BB_0074,peri_urban,B_pos,cryoprecipitate,271,181.0,271.0,296.0,115.0,0.25,High,16.02,Moderate,Adequate,Reorder Immediately
2022-03-01,BB_0147,urban,B_pos,cryoprecipitate,268,178.0,268.0,293.0,115.0,0.24,Moderate,13.48,Low,Recovered,Reorder Immediately
2022-04-01,BB_0011,rural,A_pos,group_O_neg_emergency,293,206.0,293.0,320.9,114.9,0.2,Low,16.02,Moderate,Adequate,Reorder Immediately
2021-09-01,BB_0099,urban,A_pos,platelet_concentrate,278,189.0,278.0,303.7,114.7,0.15,Low,23.28,High,Adequate,Reorder Immediately
2022-09-01,BB_0112,peri_urban,O_pos,cryoprecipitate,292,178.67,267.0,293.3,114.6,0.28,High,16.06,Moderate,Recovered,Reorder Immediately
2023-05-01,BB_0019,rural,B_neg,cryoprecipitate,278,188.0,278.0,302.5,114.5,0.33,Critical,8.51,Low,Adequate,Reorder Immediately
2024-09-01,BB_0119,rural,A_pos,platelet_concentrate,274,186.8,261.0,301.3,114.5,0.22,Low,15.11,Moderate,Low Stock,Reorder Immediately
2023-07-01,BB_0126,urban,B_pos,packed_RBC,271,182.0,271.0,296.5,114.5,0.28,High,22.53,High,Critical,Reorder Immediately
2024-06-01,BB_0139,urban,A_pos,cryoprecipitate,271,178.0,266.0,292.4,114.4,0.25,Moderate,15.64,Moderate,Adequate,Reorder Immediately
2023-07-01,BB_0005,urban,A_pos,cryoprecipitate,263,175.0,263.0,289.4,114.4,0.27,High,14.86,Moderate,Critical,Reorder Immediately
2023-02-01,BB_0042,urban,B_pos,platelet_concentrate,259,171.0,259.0,285.3,114.3,0.24,Moderate,23.98,High,Adequate,Reorder Immediately
2023-05-01,BB_0136,peri_urban,A_neg,whole_blood,258,172.0,258.0,285.8,113.8,0.33,Critical,25.0,High,Adequate,Reorder Immediately
2023-04-01,BB_0116,urban,B_pos,group_O_neg_emergency,268,180.0,268.0,293.3,113.3,0.29,High,15.56,Moderate,Adequate,Reorder Immediately
2022-11-01,BB_0121,urban,B_pos,fresh_frozen_plasma,270,173.5,260.5,286.5,113.0,0.24,Moderate,19.61,Moderate,Critical,Reorder Immediately
2023-05-01,BB_0145,peri_urban,O_pos,whole_blood,228,182.0,251.8,294.9,112.9,0.22,Moderate,18.76,Moderate,Recovered,Reorder Immediately
2023-02-01,BB_0069,peri_urban,A_neg,fresh_frozen_plasma,256,169.0,256.0,281.8,112.8,0.15,Low,5.92,Low,Adequate,Reorder Immediately
2022-04-01,BB_0133,peri_urban,A_pos,platelet_concentrate,287,200.0,287.0,312.7,112.7,0.22,Low,15.5,Moderate,Adequate,Reorder Immediately
2024-04-01,BB_0087,urban,AB_pos,cryoprecipitate,260,175.0,260.0,287.5,112.5,0.21,Low,17.14,Moderate,Adequate,Reorder Immediately
2024-06-01,BB_0070,urban,A_pos,cryoprecipitate,260,174.0,260.0,286.4,112.4,0.22,Moderate,14.94,Moderate,Recovered,Reorder Immediately
2023-06-01,BB_0019,rural,A_neg,group_O_neg_emergency,262,173.5,260.5,285.7,112.2,0.33,Critical,18.34,Moderate,Adequate,Reorder Immediately
2024-08-01,BB_0129,peri_urban,A_pos,platelet_concentrate,201,196.67,258.0,308.8,112.1,0.28,High,19.49,High,Adequate,Reorder Immediately
2024-04-01,BB_0097,urban,B_neg,group_O_neg_emergency,269,184.0,269.0,296.1,112.1,0.27,High,19.02,High,Low Stock,Reorder Immediately
2024-03-01,BB_0052,urban,AB_neg,fresh_frozen_plasma,268,186.0,268.0,297.7,111.7,0.19,Low,18.28,Moderate,Adequate,Reorder Immediately
2022-01-01,BB_0025,urban,B_pos,group_O_neg_emergency,264,178.0,264.0,289.3,111.3,0.3,Critical,19.1,High,Critical,Reorder Immediately
2024-11-01,BB_0129,urban,B_pos,platelet_concentrate,250,165.0,250.0,276.3,111.3,0.28,High,4.85,Low,Adequate,Reorder Immediately
2023-12-01,BB_0089,rural,A_pos,whole_blood,281,189.67,274.0,300.8,111.1,0.29,Critical,10.83,Low,Recovered,Reorder Immediately
2022-02-01,BB_0117,rural,A_pos,group_O_neg_emergency,273,190.0,273.0,300.9,110.9,0.23,Moderate,22.11,High,Recovered,Reorder Immediately
2023-12-01,BB_0138,urban,A_pos,packed_RBC,280,191.0,275.0,301.4,110.4,0.28,High,11.68,Low,Adequate,Reorder Immediately
2022-06-01,BB_0028,urban,B_pos,group_O_neg_emergency,286,201.0,286.0,311.3,110.3,0.19,Low,3.48,Low,Adequate,Reorder Immediately
2024-04-01,BB_0069,urban,O_pos,packed_RBC,262,176.0,259.5,286.3,110.3,0.15,Low,17.61,Moderate,Low Stock,Reorder Immediately
2023-11-01,BB_0132,rural,B_pos,cryoprecipitate,256,171.0,256.0,281.0,110.0,0.23,Moderate,22.22,Moderate,Low Stock,Reorder Immediately
2022-03-01,BB_0030,urban,B_pos,cryoprecipitate,279,194.0,279.0,304.0,110.0,0.27,High,19.07,Moderate,Adequate,Reorder Immediately
2024-10-01,BB_0117,urban,O_neg,platelet_concentrate,268,186.0,268.0,295.9,109.9,0.23,Moderate,22.04,High,Adequate,Reorder Immediately
2024-12-01,BB_0073,peri_urban,A_neg,whole_blood,262,180.0,262.0,289.8,109.8,0.21,Low,20.0,High,Adequate,Reorder Immediately
2023-05-01,BB_0106,peri_urban,A_neg,cryoprecipitate,259,173.0,259.0,282.5,109.5,0.22,Low,17.34,Moderate,Low Stock,Reorder Immediately
2024-10-01,BB_0134,rural,AB_pos,group_O_neg_emergency,275,192.0,275.0,301.4,109.4,0.25,Moderate,15.63,Moderate,Adequate,Reorder Immediately
2024-10-01,BB_0142,rural,O_neg,fresh_frozen_plasma,279,194.0,279.0,303.3,109.3,0.2,Low,17.53,Moderate,Low Stock,Reorder Immediately
2023-05-01,BB_0042,urban,B_neg,group_O_neg_emergency,271,189.0,271.0,298.1,109.1,0.24,Moderate,12.17,Low,Low Stock,Reorder Immediately
2024-06-01,BB_0017,peri_urban,O_pos,whole_blood,274,193.0,276.5,301.8,108.8,0.26,High,20.14,High,Recovered,Reorder Immediately
2024-05-01,BB_0076,urban,AB_neg,whole_blood,283,182.0,261.5,290.6,108.6,0.21,Low,15.82,Moderate,Adequate,Reorder Immediately
2023-10-01,BB_0132,urban,AB_neg,group_O_neg_emergency,283,199.0,283.0,307.4,108.4,0.23,Moderate,23.12,High,Adequate,Reorder Immediately
2022-12-01,BB_0066,urban,O_neg,fresh_frozen_plasma,260,176.0,260.0,284.3,108.3,0.22,Moderate,11.36,Low,Adequate,Reorder Immediately
2022-10-01,BB_0144,urban,B_pos,group_O_neg_emergency,277,188.0,271.0,296.3,108.3,0.25,Moderate,17.33,Moderate,Adequate,Reorder Immediately
2023-03-01,BB_0080,peri_urban,A_pos,whole_blood,254,182.0,263.5,290.3,108.3,0.27,High,21.13,High,Adequate,Reorder Immediately
2022-08-01,BB_0042,urban,A_pos,group_O_neg_emergency,261,181.0,261.0,288.9,107.9,0.24,Moderate,11.05,Low,Recovered,Reorder Immediately
2024-05-01,BB_0070,urban,O_pos,cryoprecipitate,255,190.8,262.4,298.7,107.9,0.22,Moderate,19.31,Moderate,Adequate,Reorder Immediately
2022-03-01,BB_0097,peri_urban,A_pos,group_O_neg_emergency,258,178.0,258.0,285.9,107.9,0.27,High,15.17,Moderate,Low Stock,Reorder Immediately
2021-07-01,BB_0009,peri_urban,O_neg,cryoprecipitate,268,188.0,268.0,295.8,107.8,0.27,High,18.62,Moderate,Adequate,Reorder Immediately
2024-03-01,BB_0140,urban,B_pos,whole_blood,264,192.5,274.5,300.3,107.8,0.2,Low,13.86,Low,Low Stock,Reorder Immediately
2023-04-01,BB_0054,urban,A_pos,platelet_concentrate,269,187.0,269.0,294.7,107.7,0.28,High,13.9,Low,Recovered,Reorder Immediately
2024-05-01,BB_0051,urban,AB_pos,packed_RBC,291,212.0,291.0,319.7,107.7,0.31,Critical,11.79,Low,Adequate,Reorder Immediately
2022-05-01,BB_0100,urban,B_pos,group_O_neg_emergency,267,185.0,267.0,292.3,107.3,0.27,High,8.65,Low,Recovered,Reorder Immediately
2024-07-01,BB_0006,urban,A_pos,group_O_neg_emergency,271,190.25,269.5,297.4,107.1,0.22,Low,13.71,Low,Adequate,Reorder Immediately
2023-12-01,BB_0098,rural,O_neg,packed_RBC,260,191.0,270.5,298.0,107.0,0.23,Moderate,21.14,High,Low Stock,Reorder Immediately
2023-05-01,BB_0010,peri_urban,O_neg,platelet_concentrate,285,206.0,285.0,312.9,106.9,0.25,Moderate,16.5,Moderate,Low Stock,Reorder Immediately
2022-01-01,BB_0066,urban,B_neg,platelet_concentrate,251,169.0,251.0,275.9,106.9,0.22,Moderate,18.93,Moderate,Adequate,Reorder Immediately
2024-05-01,BB_0091,peri_urban,O_neg,platelet_concentrate,263,184.0,263.0,290.9,106.9,0.22,Low,20.65,High,Adequate,Reorder Immediately
2024-07-01,BB_0052,rural,A_pos,whole_blood,275,195.0,275.0,301.8,106.8,0.19,Low,14.87,Moderate,Adequate,Reorder Immediately
2021-01-01,BB_0005,rural,B_neg,whole_blood,256,173.0,256.0,279.7,106.7,0.27,High,12.72,Low,Adequate,Reorder Immediately
2024-06-01,BB_0146,urban,A_pos,platelet_concentrate,270,189.0,270.0,295.7,106.7,0.18,Low,12.17,Low,Adequate,Reorder Immediately
2022-06-01,BB_0021,peri_urban,B_pos,platelet_concentrate,274,194.0,274.0,300.3,106.3,0.26,High,17.01,Moderate,Low Stock,Reorder Immediately
2022-12-01,BB_0014,urban,AB_neg,whole_blood,268,191.0,268.0,297.1,106.1,0.27,High,17.8,Moderate,Low Stock,Reorder Immediately
2023-10-01,BB_0081,urban,O_neg,group_O_neg_emergency,276,196.0,276.0,302.0,106.0,0.26,High,9.18,Low,Adequate,Reorder Immediately
2023-07-01,BB_0117,urban,B_pos,cryoprecipitate,288,187.5,268.5,293.5,106.0,0.23,Moderate,19.48,Moderate,Adequate,Reorder Immediately
2022-12-01,BB_0036,peri_urban,A_pos,fresh_frozen_plasma,232,151.0,232.0,257.0,106.0,0.32,Critical,8.61,Low,Recovered,Reorder Immediately
2022-05-01,BB_0096,urban,A_pos,fresh_frozen_plasma,271,190.0,271.0,296.0,106.0,0.23,Moderate,5.79,Low,Adequate,Reorder Immediately
2023-05-01,BB_0060,rural,B_pos,cryoprecipitate,268,187.0,268.0,293.0,106.0,0.25,Moderate,20.86,Moderate,Recovered,Reorder Immediately
2024-06-01,BB_0079,urban,O_pos,cryoprecipitate,295,199.33,278.67,305.0,105.7,0.39,Critical,16.27,Moderate,Adequate,Reorder Immediately
2024-03-01,BB_0005,peri_urban,A_pos,platelet_concentrate,252,172.0,252.0,277.7,105.7,0.27,High,12.79,Low,Critical,Reorder Immediately
2021-08-01,BB_0060,urban,AB_pos,packed_RBC,276,199.0,276.0,304.7,105.7,0.25,Moderate,4.52,Low,Critical,Reorder Immediately
2024-03-01,BB_0120,urban,B_pos,packed_RBC,274,194.0,274.0,299.5,105.5,0.26,High,8.76,Low,Critical,Reorder Immediately
2023-05-01,BB_0121,rural,B_neg,fresh_frozen_plasma,263,188.0,263.0,293.5,105.5,0.24,Moderate,21.28,Moderate,Adequate,Reorder Immediately
2024-01-01,BB_0026,urban,B_neg,fresh_frozen_plasma,278,203.0,278.0,308.5,105.5,0.28,High,9.36,Low,Recovered,Reorder Immediately
2023-01-01,BB_0116,rural,B_neg,cryoprecipitate,253,172.0,253.0,277.5,105.5,0.29,High,2.33,Low,Adequate,Reorder Immediately
2024-11-01,BB_0039,urban,A_neg,fresh_frozen_plasma,263,185.5,265.0,290.8,105.3,0.32,Critical,18.26,Moderate,Adequate,Reorder Immediately
2021-08-01,BB_0064,urban,B_pos,group_O_neg_emergency,282,202.0,282.0,307.3,105.3,0.12,Low,18.32,Moderate,Recovered,Reorder Immediately
2024-11-01,BB_0041,peri_urban,A_pos,packed_RBC,276,188.5,267.0,293.4,104.9,0.2,Low,19.98,High,Recovered,Reorder Immediately
2023-09-01,BB_0110,urban,B_neg,packed_RBC,258,182.0,258.0,286.9,104.9,0.29,Critical,23.08,High,Critical,Reorder Immediately
2023-07-01,BB_0077,peri_urban,B_neg,platelet_concentrate,272,192.0,272.0,296.9,104.9,0.25,Moderate,15.1,Moderate,Adequate,Reorder Immediately
2024-05-01,BB_0054,rural,A_pos,packed_RBC,277,190.5,268.75,295.2,104.7,0.28,High,17.69,Moderate,Recovered,Reorder Immediately
2024-12-01,BB_0120,rural,A_pos,group_O_neg_emergency,276,193.5,270.25,298.2,104.7,0.26,High,11.57,Low,Adequate,Reorder Immediately
2023-05-01,BB_0113,peri_urban,AB_pos,packed_RBC,277,201.0,277.0,305.7,104.7,0.25,Moderate,24.38,High,Adequate,Reorder Immediately
2024-04-01,BB_0078,urban,AB_pos,platelet_concentrate,237,156.0,237.0,260.6,104.6,0.25,Moderate,19.87,High,Recovered,Reorder Immediately
2022-11-01,BB_0101,urban,B_neg,fresh_frozen_plasma,263,189.0,263.0,293.5,104.5,0.19,Low,20.63,Moderate,Low Stock,Reorder Immediately
2021-01-01,BB_0011,urban,AB_pos,cryoprecipitate,267,190.0,267.0,294.5,104.5,0.2,Low,15.79,Moderate,Adequate,Reorder Immediately
2024-04-01,BB_0088,rural,O_neg,packed_RBC,269,192.0,269.0,296.5,104.5,0.32,Critical,25.0,High,Low Stock,Reorder Immediately
2024-04-01,BB_0058,peri_urban,AB_pos,cryoprecipitate,279,202.0,279.0,306.5,104.5,0.21,Low,10.89,Low,Adequate,Reorder Immediately
2023-11-01,BB_0142,urban,AB_pos,cryoprecipitate,283,206.0,283.0,310.5,104.5,0.2,Low,30.1,Moderate,Adequate,Reorder Immediately
2024-09-01,BB_0065,urban,A_pos,packed_RBC,271,177.5,255.5,281.9,104.4,0.32,Critical,13.28,Low,Low Stock,Reorder Immediately
2024-04-01,BB_0124,urban,A_pos,packed_RBC,274,183.0,261.0,287.4,104.4,0.22,Low,18.49,Moderate,Adequate,Reorder Immediately
2022-03-01,BB_0122,peri_urban,AB_pos,group_O_neg_emergency,262,184.0,262.0,288.4,104.4,0.26,High,21.2,High,Low Stock,Reorder Immediately
2022-07-01,BB_0057,urban,B_pos,platelet_concentrate,252,174.0,252.0,278.3,104.3,0.21,Low,20.11,High,Adequate,Reorder Immediately
2023-10-01,BB_0052,urban,O_pos,packed_RBC,247,199.4,269.6,303.6,104.2,0.19,Low,17.92,Moderate,Recovered,Reorder Immediately
2022-08-01,BB_0088,urban,B_neg,whole_blood,265,190.5,271.0,294.7,104.2,0.32,Critical,12.55,Low,Adequate,Reorder Immediately
2023-02-01,BB_0129,urban,AB_neg,packed_RBC,262,181.0,262.0,285.0,104.0,0.28,High,12.71,Low,Recovered,Reorder Immediately
2024-01-01,BB_0072,peri_urban,O_pos,whole_blood,247,184.0,262.67,288.0,104.0,0.28,High,15.22,Moderate,Adequate,Reorder Immediately
2021-11-01,BB_0080,peri_urban,O_neg,whole_blood,280,201.0,280.0,305.0,104.0,0.27,High,18.91,Moderate,Adequate,Reorder Immediately
2021-12-01,BB_0025,rural,A_pos,group_O_neg_emergency,262,186.0,262.0,289.9,103.9,0.3,Critical,26.34,High,Adequate,Reorder Immediately
2024-04-01,BB_0107,urban,O_pos,whole_blood,247,190.17,253.17,294.0,103.8,0.23,Moderate,17.49,Moderate,Critical,Reorder Immediately
2023-07-01,BB_0022,rural,B_pos,group_O_neg_emergency,287,182.5,261.0,286.3,103.8,0.19,Low,22.56,High,Adequate,Reorder Immediately
2024-07-01,BB_0133,urban,O_pos,group_O_neg_emergency,272,194.0,272.0,297.7,103.7,0.22,Low,18.56,Moderate,Adequate,Reorder Immediately
2023-05-01,BB_0100,peri_urban,AB_pos,fresh_frozen_plasma,275,197.0,275.0,300.6,103.6,0.27,High,19.29,Moderate,Adequate,Reorder Immediately
2022-01-01,BB_0077,peri_urban,B_pos,packed_RBC,258,180.0,258.0,283.5,103.5,0.25,Moderate,21.67,High,Critical,Reorder Immediately
2022-10-01,BB_0092,urban,B_neg,fresh_frozen_plasma,256,183.0,256.0,286.5,103.5,0.18,Low,6.01,Low,Adequate,Reorder Immediately
2023-08-01,BB_0040,peri_urban,A_pos,fresh_frozen_plasma,260,187.0,265.5,290.5,103.5,0.28,High,24.97,Moderate,Adequate,Reorder Immediately
2024-05-01,BB_0082,urban,O_neg,packed_RBC,264,188.0,264.0,291.5,103.5,0.33,Critical,9.57,Low,Critical,Reorder Immediately
2021-01-01,BB_0121,peri_urban,A_pos,cryoprecipitate,273,196.0,273.0,299.4,103.4,0.24,Moderate,15.82,Moderate,Low Stock,Reorder Immediately
2021-04-01,BB_0094,rural,A_pos,cryoprecipitate,251,174.0,251.0,277.4,103.4,0.3,Critical,21.26,Moderate,Recovered,Reorder Immediately
2022-05-01,BB_0130,rural,AB_pos,group_O_neg_emergency,260,183.0,260.0,286.4,103.4,0.27,High,20.77,High,Adequate,Reorder Immediately
2023-08-01,BB_0056,peri_urban,O_pos,cryoprecipitate,263,187.0,264.0,290.3,103.3,0.32,Critical,18.4,Moderate,Adequate,Reorder Immediately
2022-07-01,BB_0112,urban,O_neg,fresh_frozen_plasma,270,191.0,270.0,294.3,103.3,0.28,High,22.51,Moderate,Adequate,Reorder Immediately
2023-07-01,BB_0127,urban,B_pos,group_O_neg_emergency,264,186.0,264.0,289.3,103.3,0.24,Moderate,26.34,High,Adequate,Reorder Immediately
2024-02-01,BB_0071,urban,B_pos,group_O_neg_emergency,292,193.5,271.5,296.8,103.3,0.16,Low,12.12,Low,Low Stock,Reorder Immediately
2024-08-01,BB_0041,peri_urban,B_pos,group_O_neg_emergency,250,192.75,270.75,296.0,103.2,0.2,Low,13.04,Low,Adequate,Reorder Immediately
2021-07-01,BB_0023,urban,O_pos,platelet_concentrate,258,181.0,258.0,284.1,103.1,0.18,Low,16.57,Moderate,Adequate,Reorder Immediately
