id,facility_level,facility_id,region_type,collection_type,has_component_separation,has_nat_testing,has_blood_bank_fridge,has_platelet_agitator,blood_bank_staff_count,product_name,product_category,storage_temp_c,shelf_life_days,unit_cost_usd,blood_group,year,month,units_collected_month,units_requested_month,units_crossmatched,units_transfused,tti_screened_pct,tti_positive_pct,units_discarded_tti,units_expired,available_on_survey_day,shortage_in_last_month,shortage_days_last_month,shortage_cause,crossmatch_turnaround_hours,transfusion_reactions_month,maternal_deaths_no_blood,surgical_cancellations_no_blood,cold_chain_maintained,report_submitted,report_month,supply_demand_gap,total_wastage,wastage_rate,expiry_rate,tti_discard_rate,demand_fulfillment_rate,crossmatch_conversion_rate,collection_utilization_rate,inventory_demand_ratio,shortage_severity,wastage_risk,inventory_status
4579,national_blood_centre,BB_0088,peri_urban,VNRD_centralised,1,1,1,1,7,whole_blood,red_cells,35,42,40.00,B_pos,2024,3,207,263,200,130,0.9000,7.70,15,41,1,1,2,cold_chain_break,0.50,0,0,4,1,1,2024-03-01,-56,56,27.05,19.81,7.25,49.43,65.00,62.80,0.00380,Low,High,Recovered
5130,national_blood_centre,BB_0015,urban,VNRD_centralised,1,1,1,1,5,group_O_neg_emergency,red_cells,35,42,65.00,O_pos,2024,5,203,266,185,107,0.9600,4.90,9,36,0,0,0,not_applicable,0.50,0,0,0,1,1,2024-05-01,-63,45,22.17,17.73,4.43,40.23,57.84,52.71,0.00000,No Shortage,High,Low Stock
5513,national_blood_centre,BB_0035,peri_urban,VNRD_centralised,1,1,1,1,8,cryoprecipitate,plasma_derived,-25,365,50.00,O_pos,2024,12,205,251,192,133,0.8500,0.50,1,25,1,0,0,not_applicable,0.50,2,0,0,1,1,2024-12-01,-46,26,12.68,12.20,0.49,52.99,69.27,64.88,0.00398,No Shortage,Low,Adequate
5514,national_blood_centre,BB_0010,urban,VNRD_centralised,1,1,1,1,8,group_O_neg_emergency,red_cells,35,42,65.00,O_pos,2024,5,178,245,178,159,1.0000,4.20,7,6,1,0,0,not_applicable,0.70,1,0,0,1,1,2024-05-01,-67,13,7.30,3.37,3.93,64.90,89.33,89.33,0.00408,No Shortage,Low,Adequate
5515,national_blood_centre,BB_0034,urban,VNRD_centralised,1,1,1,1,7,whole_blood,red_cells,35,42,40.00,O_pos,2022,12,215,258,215,122,1.0000,3.90,8,14,1,1,2,collection_campaign_failed,0.50,0,1,0,1,1,2022-12-01,-43,22,10.23,6.51,3.72,47.29,56.74,56.74,0.00388,Low,Low,Recovered
5516,national_blood_centre,BB_0135,urban,VNRD_centralised,1,1,1,1,10,packed_RBC,red_cells,35,42,55.00,O_pos,2023,10,225,242,193,166,0.9000,4.70,10,45,1,1,4,tti_positive_discard,1.00,1,0,5,1,1,2023-10-01,-17,55,24.44,20.00,4.44,68.60,86.01,73.78,0.00413,Moderate,High,Recovered
9971,national_blood_centre,BB_0042,urban,VNRD_centralised,1,1,1,1,8,cryoprecipitate,plasma_derived,-25,365,50.00,O_pos,2023,1,207,269,207,151,0.9100,5.80,12,28,0,0,0,not_applicable,0.80,0,0,0,1,0,2023-01-01,-62,40,19.32,13.53,5.80,56.13,72.95,72.95,0.00000,No Shortage,High,Low Stock
9265,national_blood_centre,BB_0035,urban,VNRD_centralised,1,1,1,1,9,whole_blood,red_cells,35,42,40.00,B_neg,2022,2,220,254,220,190,0.8600,4.60,10,18,0,1,1,expired_units,0.50,1,0,7,1,1,2022-02-01,-34,28,12.73,8.18,4.55,74.80,86.36,86.36,0.00000,Low,Low,Critical
7191,national_blood_centre,BB_0090,urban,VNRD_centralised,1,1,1,1,6,fresh_frozen_plasma,plasma,-25,365,45.00,O_pos,2022,10,210,248,195,189,1.0000,8.40,17,23,0,0,0,not_applicable,0.90,1,0,0,1,0,2022-10-01,-38,40,19.05,10.95,8.10,76.21,96.92,90.00,0.00000,No Shortage,High,Low Stock
7621,national_blood_centre,BB_0033,peri_urban,VNRD_centralised,1,1,1,1,5,whole_blood,red_cells,35,42,40.00,O_pos,2023,2,208,243,193,148,0.8800,1.60,3,25,1,1,1,seasonal_low_donation,0.50,0,0,1,1,1,2023-02-01,-35,28,13.46,12.02,1.44,60.91,76.68,71.15,0.00412,Low,Low,Recovered
23,national_blood_centre,BB_0128,urban,VNRD_centralised,1,1,1,1,13,cryoprecipitate,plasma_derived,-25,365,50.00,A_pos,2021,3,206,251,180,93,0.8500,2.30,4,22,1,1,1,demand_surge_trauma,0.50,1,0,1,1,1,2021-03-01,-45,26,12.62,10.68,1.94,37.05,51.67,45.15,0.00398,Low,Low,Recovered
24,national_blood_centre,BB_0044,rural,VNRD_centralised,1,1,1,1,2,group_O_neg_emergency,red_cells,35,42,65.00,O_pos,2023,2,212,238,179,117,1.0000,5.80,12,33,1,0,0,not_applicable,0.70,0,0,0,1,1,2023-02-01,-26,45,21.23,15.57,5.66,49.16,65.36,55.19,0.00420,No Shortage,High,Adequate
25,national_blood_centre,BB_0004,urban,VNRD_centralised,1,1,1,1,4,whole_blood,red_cells,35,42,40.00,A_pos,2023,12,217,269,199,131,0.9500,4.10,8,15,1,0,0,not_applicable,0.70,1,0,0,1,1,2023-12-01,-52,23,10.60,6.91,3.69,48.70,65.83,60.37,0.00372,No Shortage,Low,Adequate
26,national_blood_centre,BB_0045,urban,VNRD_centralised,1,1,1,1,3,packed_RBC,red_cells,35,42,55.00,O_pos,2022,3,210,261,210,157,0.9700,1.70,3,29,1,0,0,not_applicable,0.50,0,0,0,0,1,2022-03-01,-51,32,15.24,13.81,1.43,60.15,74.76,74.76,0.00383,No Shortage,Moderate,Adequate
27,national_blood_centre,BB_0058,rural,VNRD_centralised,1,1,1,1,9,fresh_frozen_plasma,plasma,-25,365,45.00,A_pos,2022,2,219,255,200,175,1.0000,4.60,10,12,1,0,0,not_applicable,0.50,1,0,0,1,1,2022-02-01,-36,22,10.05,5.48,4.57,68.63,87.50,79.91,0.00392,No Shortage,Low,Adequate
28,national_blood_centre,BB_0116,urban,VNRD_centralised,1,1,1,1,8,platelet_concentrate,platelets,22,5,60.00,A_neg,2024,11,195,262,195,124,0.9100,2.70,5,14,1,1,1,insufficient_donors,2.00,0,0,5,1,1,2024-11-01,-67,19,9.74,7.18,2.56,47.33,63.59,63.59,0.00382,Low,Low,Recovered
9991,national_blood_centre,BB_0110,urban,VNRD_centralised,1,1,1,1,5,whole_blood,red_cells,35,42,40.00,A_pos,2024,9,198,268,198,182,0.8200,8.00,15,28,1,0,0,not_applicable,0.80,0,0,0,1,1,2024-09-01,-70,43,21.72,14.14,7.58,67.91,91.92,91.92,0.00373,No Shortage,High,Adequate
3524,national_blood_centre,BB_0068,rural,VNRD_centralised,1,1,1,1,8,packed_RBC,red_cells,35,42,55.00,O_pos,2024,11,202,252,200,123,0.9800,1.20,2,0,0,0,0,not_applicable,0.90,0,0,0,1,1,2024-11-01,-50,2,0.99,0.00,0.99,48.81,61.50,60.89,0.00000,No Shortage,Low,Low Stock
4,national_blood_centre,BB_0051,rural,VNRD_centralised,1,1,1,1,10,platelet_concentrate,platelets,22,5,60.00,O_pos,2023,12,185,263,185,168,0.9300,1.90,3,23,1,0,0,not_applicable,1.00,0,0,0,1,1,2023-12-01,-78,26,14.05,12.43,1.62,63.88,90.81,90.81,0.00380,No Shortage,Moderate,Adequate
5,national_blood_centre,BB_0119,rural,VNRD_centralised,1,1,1,1,7,cryoprecipitate,plasma_derived,-25,365,50.00,O_neg,2023,3,228,249,192,132,0.9400,8.20,18,29,1,0,0,not_applicable,0.50,1,0,0,1,1,2023-03-01,-21,47,20.61,12.72,7.89,53.01,68.75,57.89,0.00402,No Shortage,High,Adequate
6,national_blood_centre,BB_0140,urban,VNRD_centralised,1,1,1,1,8,group_O_neg_emergency,red_cells,35,42,65.00,O_pos,2023,10,184,247,184,140,0.9400,5.90,10,34,0,0,0,not_applicable,0.70,0,0,0,1,1,2023-10-01,-63,44,23.91,18.48,5.43,56.68,76.09,76.09,0.00000,No Shortage,High,Low Stock
7,national_blood_centre,BB_0001,urban,VNRD_centralised,1,1,1,1,6,whole_blood,red_cells,35,42,40.00,O_pos,2024,12,183,237,183,136,0.8700,1.30,2,13,0,0,0,not_applicable,1.70,0,0,0,1,0,2024-12-01,-54,15,8.20,7.10,1.09,57.38,74.32,74.32,0.00000,No Shortage,Low,Low Stock
8,national_blood_centre,BB_0013,urban,VNRD_centralised,1,1,1,1,8,packed_RBC,red_cells,35,42,55.00,O_pos,2023,5,227,248,214,114,0.9300,1.80,4,21,1,0,0,not_applicable,1.40,1,0,0,1,1,2023-05-01,-21,25,11.01,9.25,1.76,45.97,53.27,50.22,0.00403,No Shortage,Low,Adequate
9,national_blood_centre,BB_0149,rural,VNRD_centralised,1,1,1,1,5,fresh_frozen_plasma,plasma,-25,365,45.00,O_pos,2024,9,184,231,170,135,1.0000,5.50,10,25,1,0,0,not_applicable,0.50,0,0,0,1,1,2024-09-01,-47,35,19.02,13.59,5.43,58.44,79.41,73.37,0.00433,No Shortage,High,Adequate
10,national_blood_centre,BB_0034,peri_urban,VNRD_centralised,1,1,1,1,6,platelet_concentrate,platelets,22,5,60.00,B_pos,2021,3,212,264,212,190,0.6900,4.30,9,27,1,1,1,demand_surge_trauma,0.50,0,0,3,1,1,2021-03-01,-52,36,16.98,12.74,4.25,71.97,89.62,89.62,0.00379,Low,Moderate,Recovered
29,national_blood_centre,BB_0052,peri_urban,VNRD_centralised,1,1,1,1,8,cryoprecipitate,plasma_derived,-25,365,50.00,A_pos,2022,8,234,226,199,165,0.8200,3.80,8,21,1,1,1,seasonal_low_donation,5.70,0,0,2,1,1,2022-08-01,8,29,12.39,8.97,3.42,73.01,82.91,70.51,0.00442,Low,Low,Recovered
30,national_blood_centre,BB_0045,rural,VNRD_centralised,1,1,1,1,7,group_O_neg_emergency,red_cells,35,42,65.00,B_pos,2023,11,202,238,202,134,1.0000,0.50,1,28,0,0,0,not_applicable,0.50,1,0,0,1,1,2023-11-01,-36,29,14.36,13.86,0.50,56.30,66.34,66.34,0.00000,No Shortage,Moderate,Low Stock
31,national_blood_centre,BB_0058,rural,VNRD_centralised,1,1,1,1,9,whole_blood,red_cells,35,42,40.00,O_pos,2022,4,212,250,201,152,0.9500,6.30,13,37,0,1,2,tti_positive_discard,0.50,0,0,7,1,1,2022-04-01,-38,50,23.58,17.45,6.13,60.80,75.62,71.70,0.00000,Low,High,Critical
32,national_blood_centre,BB_0011,urban,VNRD_centralised,1,1,1,1,9,packed_RBC,red_cells,35,42,55.00,O_pos,2024,6,205,265,205,151,0.9500,0.90,1,21,1,0,0,not_applicable,0.50,0,0,0,1,1,2024-06-01,-60,22,10.73,10.24,0.49,56.98,73.66,73.66,0.00377,No Shortage,Low,Adequate
33,national_blood_centre,BB_0023,urban,VNRD_centralised,1,1,1,1,10,fresh_frozen_plasma,plasma,-25,365,45.00,O_pos,2024,12,201,241,187,138,0.9900,7.30,14,25,0,0,0,not_applicable,0.50,0,0,0,1,1,2024-12-01,-40,39,19.40,12.44,6.97,57.26,73.80,68.66,0.00000,No Shortage,High,Low Stock
34,national_blood_centre,BB_0039,urban,VNRD_centralised,1,1,1,1,6,platelet_concentrate,platelets,22,5,60.00,B_pos,2022,2,207,239,182,142,0.9900,6.80,14,3,0,0,0,not_applicable,0.50,1,0,0,0,1,2022-02-01,-32,17,8.21,1.45,6.76,59.41,78.02,68.60,0.00000,No Shortage,Low,Low Stock
35,national_blood_centre,BB_0066,urban,VNRD_centralised,1,1,1,1,12,cryoprecipitate,plasma_derived,-25,365,50.00,B_pos,2024,9,212,249,188,148,0.9600,6.30,13,23,1,0,0,not_applicable,0.90,0,0,0,1,1,2024-09-01,-37,36,16.98,10.85,6.13,59.44,78.72,69.81,0.00402,No Shortage,Moderate,Adequate
36,national_blood_centre,BB_0068,rural,VNRD_centralised,1,1,1,1,6,group_O_neg_emergency,red_cells,35,42,65.00,O_pos,2023,10,174,264,174,106,0.8000,7.00,12,18,1,0,0,not_applicable,1.30,3,0,0,1,1,2023-10-01,-90,30,17.24,10.34,6.90,40.15,60.92,60.92,0.00379,No Shortage,Moderate,Adequate
37,national_blood_centre,BB_0018,urban,VNRD_centralised,1,1,1,1,9,whole_blood,red_cells,35,42,40.00,B_pos,2024,12,200,231,164,128,0.8500,6.40,12,24,1,0,0,not_applicable,0.50,1,0,0,1,1,2024-12-01,-31,36,18.00,12.00,6.00,55.41,78.05,64.00,0.00433,No Shortage,Moderate,Adequate
38,national_blood_centre,BB_0010,rural,VNRD_centralised,1,1,1,1,10,packed_RBC,red_cells,35,42,55.00,O_pos,2022,11,211,224,165,126,1.0000,5.80,12,19,1,0,0,not_applicable,1.00,2,0,0,1,1,2022-11-01,-13,31,14.69,9.00,5.69,56.25,76.36,59.72,0.00446,No Shortage,Moderate,Adequate
39,national_blood_centre,BB_0142,peri_urban,VNRD_centralised,1,1,1,1,5,fresh_frozen_plasma,plasma,-25,365,45.00,A_pos,2023,4,190,263,190,149,0.9900,1.00,1,30,1,1,1,tti_positive_discard,0.80,1,1,1,0,1,2023-04-01,-73,31,16.32,15.79,0.53,56.65,78.42,78.42,0.00380,Low,Moderate,Recovered
40,national_blood_centre,BB_0051,peri_urban,VNRD_centralised,1,1,1,1,5,platelet_concentrate,platelets,22,5,60.00,O_pos,2021,3,218,243,188,157,0.9000,4.40,9,18,1,1,2,collection_campaign_failed,0.50,2,0,4,1,0,2021-03-01,-25,27,12.39,8.26,4.13,64.61,83.51,72.02,0.00412,Low,Low,Recovered
41,national_blood_centre,BB_0013,rural,VNRD_centralised,1,1,1,1,9,cryoprecipitate,plasma_derived,-25,365,50.00,O_pos,2021,7,218,243,192,136,0.7700,4.50,9,9,1,0,0,not_applicable,1.00,1,0,0,1,1,2021-07-01,-25,18,8.26,4.13,4.13,55.97,70.83,62.39,0.00412,No Shortage,Low,Adequate
42,national_blood_centre,BB_0011,urban,VNRD_centralised,1,1,1,1,11,group_O_neg_emergency,red_cells,35,42,65.00,B_neg,2022,5,225,258,224,185,0.9600,5.80,13,12,0,0,0,not_applicable,1.70,0,0,0,1,1,2022-05-01,-33,25,11.11,5.33,5.78,71.71,82.59,82.22,0.00000,No Shortage,Low,Low Stock
43,national_blood_centre,BB_0023,urban,VNRD_centralised,1,1,1,1,13,whole_blood,red_cells,35,42,40.00,O_pos,2023,6,180,268,180,131,0.9900,0.50,0,32,1,0,0,not_applicable,0.60,1,0,0,1,1,2023-06-01,-88,32,17.78,17.78,0.00,48.88,72.78,72.78,0.00373,No Shortage,Moderate,Adequate
44,national_blood_centre,BB_0139,urban,VNRD_centralised,1,1,1,1,7,packed_RBC,red_cells,35,42,55.00,A_pos,2024,3,205,247,205,138,1.0000,4.70,9,22,0,0,0,not_applicable,0.50,0,0,0,1,1,2024-03-01,-42,31,15.12,10.73,4.39,55.87,67.32,67.32,0.00000,No Shortage,Moderate,Low Stock
45,national_blood_centre,BB_0108,rural,VNRD_centralised,1,1,1,1,7,fresh_frozen_plasma,plasma,-25,365,45.00,AB_pos,2021,7,218,229,185,144,1.0000,8.70,18,0,1,0,0,not_applicable,0.60,0,0,0,1,1,2021-07-01,-11,18,8.26,0.00,8.26,62.88,77.84,66.06,0.00437,No Shortage,Low,Adequate
46,national_blood_centre,BB_0085,urban,VNRD_centralised,1,1,1,1,6,platelet_concentrate,platelets,22,5,60.00,A_pos,2024,10,168,219,168,136,0.9500,6.50,10,16,1,0,0,not_applicable,0.50,0,0,0,1,1,2024-10-01,-51,26,15.48,9.52,5.95,62.10,80.95,80.95,0.00457,No Shortage,Moderate,Adequate
47,national_blood_centre,BB_0061,rural,VNRD_centralised,1,1,1,1,9,cryoprecipitate,plasma_derived,-25,365,50.00,O_pos,2024,6,186,250,186,84,0.8300,8.40,15,16,1,0,0,not_applicable,0.50,1,0,0,0,1,2024-06-01,-64,31,16.67,8.60,8.06,33.60,45.16,45.16,0.00400,No Shortage,Moderate,Adequate
48,national_blood_centre,BB_0074,urban,VNRD_centralised,1,1,1,1,12,group_O_neg_emergency,red_cells,35,42,65.00,O_pos,2024,11,200,248,200,172,0.9500,0.50,1,22,1,1,6,tti_positive_discard,0.50,0,0,1,1,1,2024-11-01,-48,23,11.50,11.00,0.50,69.35,86.00,86.00,0.00403,High,Low,Recovered
49,national_blood_centre,BB_0125,urban,VNRD_centralised,1,1,1,1,6,whole_blood,red_cells,35,42,40.00,O_pos,2023,3,212,266,212,187,0.9800,4.40,9,30,1,0,0,not_applicable,0.80,0,0,0,1,1,2023-03-01,-54,39,18.40,14.15,4.25,70.30,88.21,88.21,0.00376,No Shortage,Moderate,Adequate
50,national_blood_centre,BB_0105,urban,VNRD_centralised,1,1,1,1,13,packed_RBC,red_cells,35,42,55.00,O_neg,2023,4,196,252,181,149,0.7800,2.20,4,38,0,0,0,not_applicable,1.20,0,0,0,1,0,2023-04-01,-56,42,21.43,19.39,2.04,59.13,82.32,76.02,0.00000,No Shortage,High,Low Stock
51,national_blood_centre,BB_0065,peri_urban,VNRD_centralised,1,1,1,1,5,fresh_frozen_plasma,plasma,-25,365,45.00,B_pos,2023,5,186,266,186,124,0.8400,2.20,4,16,0,0,0,not_applicable,0.50,0,0,0,1,1,2023-05-01,-80,20,10.75,8.60,2.15,46.62,66.67,66.67,0.00000,No Shortage,Low,Low Stock
52,national_blood_centre,BB_0091,urban,VNRD_centralised,1,1,1,1,5,platelet_concentrate,platelets,22,5,60.00,O_pos,2023,10,214,245,191,124,0.9000,0.80,1,10,1,0,0,not_applicable,1.60,0,0,0,1,0,2023-10-01,-31,11,5.14,4.67,0.47,50.61,64.92,57.94,0.00408,No Shortage,Low,Adequate
53,national_blood_centre,BB_0011,peri_urban,VNRD_centralised,1,1,1,1,6,cryoprecipitate,plasma_derived,-25,365,50.00,B_pos,2024,3,214,239,174,139,1.0000,0.50,1,29,1,1,4,reagent_stockout_crossmatch,0.50,3,0,7,1,1,2024-03-01,-25,30,14.02,13.55,0.47,58.16,79.89,64.95,0.00418,Moderate,Moderate,Recovered
54,national_blood_centre,BB_0081,urban,VNRD_centralised,1,1,1,1,12,group_O_neg_emergency,red_cells,35,42,65.00,O_neg,2023,10,196,276,196,142,0.7900,6.20,12,6,1,0,0,not_applicable,2.00,0,0,0,1,1,2023-10-01,-80,18,9.18,3.06,6.12,51.45,72.45,72.45,0.00362,No Shortage,Low,Adequate
55,national_blood_centre,BB_0011,urban,VNRD_centralised,1,1,1,1,13,whole_blood,red_cells,35,42,40.00,O_pos,2024,12,203,216,189,139,1.0000,3.40,6,8,0,0,0,not_applicable,1.10,0,0,0,1,1,2024-12-01,-13,14,6.90,3.94,2.96,64.35,73.54,68.47,0.00000,No Shortage,Low,Low Stock
56,national_blood_centre,BB_0120,urban,VNRD_centralised,1,1,1,1,9,packed_RBC,red_cells,35,42,55.00,B_pos,2024,3,194,274,194,119,1.0000,0.80,1,16,0,1,1,power_outage_storage,0.80,1,1,2,1,1,2024-03-01,-80,17,8.76,8.25,0.52,43.43,61.34,61.34,0.00000,Low,Low,Critical
57,national_blood_centre,BB_0105,urban,VNRD_centralised,1,1,1,1,7,fresh_frozen_plasma,plasma,-25,365,45.00,B_pos,2021,5,212,236,211,146,1.0000,6.90,14,43,1,0,0,not_applicable,0.50,1,0,0,1,1,2021-05-01,-24,57,26.89,20.28,6.60,61.86,69.19,68.87,0.00424,No Shortage,High,Adequate
58,national_blood_centre,BB_0112,urban,VNRD_centralised,1,1,1,1,8,platelet_concentrate,platelets,22,5,60.00,O_neg,2023,6,226,251,211,160,0.7100,2.00,4,34,1,0,0,not_applicable,1.20,0,0,0,1,1,2023-06-01,-25,38,16.81,15.04,1.77,63.75,75.83,70.80,0.00398,No Shortage,Moderate,Adequate
59,national_blood_centre,BB_0088,urban,VNRD_centralised,1,1,1,1,6,cryoprecipitate,plasma_derived,-25,365,50.00,A_pos,2022,1,206,263,206,155,1.0000,0.50,1,4,1,0,0,not_applicable,0.50,0,0,0,0,0,2022-01-01,-57,5,2.43,1.94,0.49,58.94,75.24,75.24,0.00380,No Shortage,Low,Adequate
60,national_blood_centre,BB_0017,peri_urban,VNRD_centralised,1,1,1,1,13,group_O_neg_emergency,red_cells,35,42,65.00,A_pos,2023,7,206,262,202,169,0.8000,1.10,2,3,0,0,0,not_applicable,0.50,0,0,0,1,1,2023-07-01,-56,5,2.43,1.46,0.97,64.50,83.66,82.04,0.00000,No Shortage,Low,Low Stock
61,national_blood_centre,BB_0133,urban,VNRD_centralised,1,1,1,1,4,whole_blood,red_cells,35,42,40.00,A_pos,2023,4,198,265,198,153,1.0000,3.30,6,17,1,0,0,not_applicable,1.20,0,0,0,1,1,2023-04-01,-67,23,11.62,8.59,3.03,57.74,77.27,77.27,0.00377,No Shortage,Low,Adequate
62,national_blood_centre,BB_0111,urban,VNRD_centralised,1,1,1,1,9,packed_RBC,red_cells,35,42,55.00,O_neg,2023,3,189,236,185,118,0.8900,8.20,15,28,1,0,0,not_applicable,4.80,0,0,0,1,0,2023-03-01,-47,43,22.75,14.81,7.94,50.00,63.78,62.43,0.00424,No Shortage,High,Adequate
