id,facility_level,facility_id,region_type,collection_type,has_component_separation,has_NAT_testing,has_blood_bank_fridge,has_platelet_agitator,blood_bank_staff_count,product_name,product_category,storage_temp_C,shelf_life_days,unit_cost_usd,blood_group,year,month,units_collected_month,units_requested_month,units_crossmatched,units_transfused,tti_screened_pct,tti_positive_pct,units_discarded_tti,units_expired,available_on_survey_day,shortage_in_last_month,shortage_days_last_month,shortage_cause,crossmatch_turnaround_hours,transfusion_reactions_month,maternal_deaths_no_blood,surgical_cancellations_no_blood,cold_chain_maintained,report_submitted
11,national_blood_centre,BB_0036,rural,VNRD_centralised,1,1,1,1,13,cryoprecipitate,plasma_derived,-25,365,50.0,O_pos,2023,4,178,224,178,144,0.88,2.0,3,21,1,1,21,TTI_positive_discard,0.5,0,0,2,1,1
12,national_blood_centre,BB_0078,peri_urban,VNRD_centralised,1,1,1,1,5,group_O_neg_emergency,red_cells,35,42,65.0,B_pos,2023,6,193,263,193,141,0.99,8.0,15,12,1,0,0,not_applicable,1.3,2,0,0,1,0
13,national_blood_centre,BB_0001,rural,VNRD_centralised,1,1,1,1,6,whole_blood,red_cells,35,42,40.0,O_pos,2024,9,191,247,191,116,0.72,5.2,9,18,0,1,7,insufficient_donors,1.0,0,0,1,1,1
14,national_blood_centre,BB_0003,peri_urban,VNRD_centralised,1,1,1,1,1,packed_RBC,red_cells,35,42,55.0,O_pos,2023,11,214,269,214,188,0.94,9.1,19,26,0,1,4,TTI_positive_discard,1.5,2,0,4,1,1
15,national_blood_centre,BB_0069,urban,VNRD_centralised,1,1,1,1,7,fresh_frozen_plasma,plasma,-25,365,45.0,B_neg,2022,9,203,257,188,147,1.0,11.2,22,25,1,0,0,not_applicable,0.5,1,0,0,1,1
16,national_blood_centre,BB_0126,peri_urban,VNRD_centralised,1,1,1,1,5,platelet_concentrate,platelets,22,5,60.0,A_pos,2024,3,206,241,195,146,1.0,5.7,11,39,0,0,0,not_applicable,0.5,0,0,0,1,1
17,national_blood_centre,BB_0078,urban,VNRD_centralised,1,1,1,1,4,cryoprecipitate,plasma_derived,-25,365,50.0,O_pos,2022,11,192,269,192,115,0.65,3.4,6,46,0,0,0,not_applicable,1.9,1,0,0,1,1
18,national_blood_centre,BB_0101,urban,VNRD_centralised,1,1,1,1,9,group_O_neg_emergency,red_cells,35,42,65.0,O_pos,2024,3,197,231,197,116,1.0,3.4,6,34,1,1,2,transport_delay,0.8,1,1,0,1,1
19,national_blood_centre,BB_0139,urban,VNRD_centralised,1,1,1,1,12,whole_blood,red_cells,35,42,40.0,O_pos,2022,11,186,279,186,138,0.98,2.3,4,24,0,0,0,not_applicable,1.5,2,0,0,0,1
20,national_blood_centre,BB_0069,urban,VNRD_centralised,1,1,1,1,11,packed_RBC,red_cells,35,42,55.0,B_pos,2023,11,213,252,213,169,0.78,6.6,14,14,1,0,0,not_applicable,1.6,2,0,0,1,1
21,national_blood_centre,BB_0016,rural,VNRD_centralised,1,1,1,1,3,fresh_frozen_plasma,plasma,-25,365,45.0,O_pos,2024,8,207,269,207,115,0.92,4.1,8,22,1,1,1,reagent_stockout_crossmatch,1.5,1,0,0,1,0
22,national_blood_centre,BB_0128,peri_urban,VNRD_centralised,1,1,1,1,6,platelet_concentrate,platelets,22,5,60.0,O_pos,2023,9,205,246,205,146,0.94,0.5,1,8,0,0,0,not_applicable,1.2,0,0,0,1,1
23,national_blood_centre,BB_0128,urban,VNRD_centralised,1,1,1,1,13,cryoprecipitate,plasma_derived,-25,365,50.0,A_pos,2021,3,206,251,180,93,0.85,2.3,4,22,1,1,1,demand_surge_trauma,0.5,1,0,1,1,1
24,national_blood_centre,BB_0044,rural,VNRD_centralised,1,1,1,1,2,group_O_neg_emergency,red_cells,35,42,65.0,O_pos,2023,2,212,238,179,117,1.0,5.8,12,33,1,0,0,not_applicable,0.7,0,0,0,1,1
25,national_blood_centre,BB_0004,urban,VNRD_centralised,1,1,1,1,4,whole_blood,red_cells,35,42,40.0,A_pos,2023,12,217,269,199,131,0.95,4.1,8,15,1,0,0,not_applicable,0.7,1,0,0,1,1
26,national_blood_centre,BB_0045,urban,VNRD_centralised,1,1,1,1,3,packed_RBC,red_cells,35,42,55.0,O_pos,2022,3,210,261,210,157,0.97,1.7,3,29,1,0,0,not_applicable,0.5,0,0,0,0,1
27,national_blood_centre,BB_0058,rural,VNRD_centralised,1,1,1,1,9,fresh_frozen_plasma,plasma,-25,365,45.0,A_pos,2022,2,219,255,200,175,1.0,4.6,10,12,1,0,0,not_applicable,0.5,1,0,0,1,1
28,national_blood_centre,BB_0116,urban,VNRD_centralised,1,1,1,1,8,platelet_concentrate,platelets,22,5,60.0,A_neg,2024,11,195,262,195,124,0.91,2.7,5,14,1,1,1,insufficient_donors,2.0,0,0,5,1,1
29,national_blood_centre,BB_0052,peri_urban,VNRD_centralised,1,1,1,1,8,cryoprecipitate,plasma_derived,-25,365,50.0,A_pos,2022,8,234,226,199,165,0.82,3.8,8,21,1,1,1,seasonal_low_donation,5.7,0,0,2,1,1
30,national_blood_centre,BB_0045,rural,VNRD_centralised,1,1,1,1,7,group_O_neg_emergency,red_cells,35,42,65.0,B_pos,2023,11,202,238,202,134,1.0,0.5,1,28,0,0,0,not_applicable,0.5,1,0,0,1,1
31,national_blood_centre,BB_0058,rural,VNRD_centralised,1,1,1,1,9,whole_blood,red_cells,35,42,40.0,O_pos,2022,4,212,250,201,152,0.95,6.3,13,37,0,1,2,TTI_positive_discard,0.5,0,0,7,1,1
32,national_blood_centre,BB_0011,urban,VNRD_centralised,1,1,1,1,9,packed_RBC,red_cells,35,42,55.0,O_pos,2024,6,205,265,205,151,0.95,0.9,1,21,1,0,0,not_applicable,0.5,0,0,0,1,1
33,national_blood_centre,BB_0023,urban,VNRD_centralised,1,1,1,1,10,fresh_frozen_plasma,plasma,-25,365,45.0,O_pos,2024,12,201,241,187,138,0.99,7.3,14,25,0,0,0,not_applicable,0.5,0,0,0,1,1
34,national_blood_centre,BB_0039,urban,VNRD_centralised,1,1,1,1,6,platelet_concentrate,platelets,22,5,60.0,B_pos,2022,2,207,239,182,142,0.99,6.8,14,3,0,0,0,not_applicable,0.5,1,0,0,0,1
35,national_blood_centre,BB_0066,urban,VNRD_centralised,1,1,1,1,12,cryoprecipitate,plasma_derived,-25,365,50.0,B_pos,2024,9,212,249,188,148,0.96,6.3,13,23,1,0,0,not_applicable,0.9,0,0,0,1,1
36,national_blood_centre,BB_0068,rural,VNRD_centralised,1,1,1,1,6,group_O_neg_emergency,red_cells,35,42,65.0,O_pos,2023,10,174,264,174,106,0.8,7.0,12,18,1,0,0,not_applicable,1.3,3,0,0,1,1
37,national_blood_centre,BB_0018,urban,VNRD_centralised,1,1,1,1,9,whole_blood,red_cells,35,42,40.0,B_pos,2024,12,200,231,164,128,0.85,6.4,12,24,1,0,0,not_applicable,0.5,1,0,0,1,1
38,national_blood_centre,BB_0010,rural,VNRD_centralised,1,1,1,1,10,packed_RBC,red_cells,35,42,55.0,O_pos,2022,11,211,224,165,126,1.0,5.8,12,19,1,0,0,not_applicable,1.0,2,0,0,1,1
39,national_blood_centre,BB_0142,peri_urban,VNRD_centralised,1,1,1,1,5,fresh_frozen_plasma,plasma,-25,365,45.0,A_pos,2023,4,190,263,190,149,0.99,1.0,1,30,1,1,1,TTI_positive_discard,0.8,1,1,1,0,1
40,national_blood_centre,BB_0051,peri_urban,VNRD_centralised,1,1,1,1,5,platelet_concentrate,platelets,22,5,60.0,O_pos,2021,3,218,243,188,157,0.9,4.4,9,18,1,1,2,collection_campaign_failed,0.5,2,0,4,1,0
41,national_blood_centre,BB_0013,rural,VNRD_centralised,1,1,1,1,9,cryoprecipitate,plasma_derived,-25,365,50.0,O_pos,2021,7,218,243,192,136,0.77,4.5,9,9,1,0,0,not_applicable,1.0,1,0,0,1,1
42,national_blood_centre,BB_0011,urban,VNRD_centralised,1,1,1,1,11,group_O_neg_emergency,red_cells,35,42,65.0,B_neg,2022,5,225,258,224,185,0.96,5.8,13,12,0,0,0,not_applicable,1.7,0,0,0,1,1
43,national_blood_centre,BB_0023,urban,VNRD_centralised,1,1,1,1,13,whole_blood,red_cells,35,42,40.0,O_pos,2023,6,180,268,180,131,0.99,0.5,0,32,1,0,0,not_applicable,0.6,1,0,0,1,1
44,national_blood_centre,BB_0139,urban,VNRD_centralised,1,1,1,1,7,packed_RBC,red_cells,35,42,55.0,A_pos,2024,3,205,247,205,138,1.0,4.7,9,22,0,0,0,not_applicable,0.5,0,0,0,1,1
45,national_blood_centre,BB_0108,rural,VNRD_centralised,1,1,1,1,7,fresh_frozen_plasma,plasma,-25,365,45.0,AB_pos,2021,7,218,229,185,144,1.0,8.7,18,0,1,0,0,not_applicable,0.6,0,0,0,1,1
46,national_blood_centre,BB_0085,urban,VNRD_centralised,1,1,1,1,6,platelet_concentrate,platelets,22,5,60.0,A_pos,2024,10,168,219,168,136,0.95,6.5,10,16,1,0,0,not_applicable,0.5,0,0,0,1,1
47,national_blood_centre,BB_0061,rural,VNRD_centralised,1,1,1,1,9,cryoprecipitate,plasma_derived,-25,365,50.0,O_pos,2024,6,186,250,186,84,0.83,8.4,15,16,1,0,0,not_applicable,0.5,1,0,0,0,1
48,national_blood_centre,BB_0074,urban,VNRD_centralised,1,1,1,1,12,group_O_neg_emergency,red_cells,35,42,65.0,O_pos,2024,11,200,248,200,172,0.95,0.5,1,22,1,1,6,TTI_positive_discard,0.5,0,0,1,1,1
49,national_blood_centre,BB_0125,urban,VNRD_centralised,1,1,1,1,6,whole_blood,red_cells,35,42,40.0,O_pos,2023,3,212,266,212,187,0.98,4.4,9,30,1,0,0,not_applicable,0.8,0,0,0,1,1
50,national_blood_centre,BB_0105,urban,VNRD_centralised,1,1,1,1,13,packed_RBC,red_cells,35,42,55.0,O_neg,2023,4,196,252,181,149,0.78,2.2,4,38,0,0,0,not_applicable,1.2,0,0,0,1,0
51,national_blood_centre,BB_0065,peri_urban,VNRD_centralised,1,1,1,1,5,fresh_frozen_plasma,plasma,-25,365,45.0,B_pos,2023,5,186,266,186,124,0.84,2.2,4,16,0,0,0,not_applicable,0.5,0,0,0,1,1
52,national_blood_centre,BB_0091,urban,VNRD_centralised,1,1,1,1,5,platelet_concentrate,platelets,22,5,60.0,O_pos,2023,10,214,245,191,124,0.9,0.8,1,10,1,0,0,not_applicable,1.6,0,0,0,1,0
53,national_blood_centre,BB_0011,peri_urban,VNRD_centralised,1,1,1,1,6,cryoprecipitate,plasma_derived,-25,365,50.0,B_pos,2024,3,214,239,174,139,1.0,0.5,1,29,1,1,4,reagent_stockout_crossmatch,0.5,3,0,7,1,1
54,national_blood_centre,BB_0081,urban,VNRD_centralised,1,1,1,1,12,group_O_neg_emergency,red_cells,35,42,65.0,O_neg,2023,10,196,276,196,142,0.79,6.2,12,6,1,0,0,not_applicable,2.0,0,0,0,1,1
55,national_blood_centre,BB_0011,urban,VNRD_centralised,1,1,1,1,13,whole_blood,red_cells,35,42,40.0,O_pos,2024,12,203,216,189,139,1.0,3.4,6,8,0,0,0,not_applicable,1.1,0,0,0,1,1
56,national_blood_centre,BB_0120,urban,VNRD_centralised,1,1,1,1,9,packed_RBC,red_cells,35,42,55.0,B_pos,2024,3,194,274,194,119,1.0,0.8,1,16,0,1,1,power_outage_storage,0.8,1,1,2,1,1
57,national_blood_centre,BB_0105,urban,VNRD_centralised,1,1,1,1,7,fresh_frozen_plasma,plasma,-25,365,45.0,B_pos,2021,5,212,236,211,146,1.0,6.9,14,43,1,0,0,not_applicable,0.5,1,0,0,1,1
58,national_blood_centre,BB_0112,urban,VNRD_centralised,1,1,1,1,8,platelet_concentrate,platelets,22,5,60.0,O_neg,2023,6,226,251,211,160,0.71,2.0,4,34,1,0,0,not_applicable,1.2,0,0,0,1,1
59,national_blood_centre,BB_0088,urban,VNRD_centralised,1,1,1,1,6,cryoprecipitate,plasma_derived,-25,365,50.0,A_pos,2022,1,206,263,206,155,1.0,0.5,1,4,1,0,0,not_applicable,0.5,0,0,0,0,0
60,national_blood_centre,BB_0017,peri_urban,VNRD_centralised,1,1,1,1,13,group_O_neg_emergency,red_cells,35,42,65.0,A_pos,2023,7,206,262,202,169,0.8,1.1,2,3,0,0,0,not_applicable,0.5,0,0,0,1,1
61,national_blood_centre,BB_0133,urban,VNRD_centralised,1,1,1,1,4,whole_blood,red_cells,35,42,40.0,A_pos,2023,4,198,265,198,153,1.0,3.3,6,17,1,0,0,not_applicable,1.2,0,0,0,1,1
62,national_blood_centre,BB_0111,urban,VNRD_centralised,1,1,1,1,9,packed_RBC,red_cells,35,42,55.0,O_neg,2023,3,189,236,185,118,0.89,8.2,15,28,1,0,0,not_applicable,4.8,0,0,0,1,0
63,national_blood_centre,BB_0030,rural,VNRD_centralised,1,1,1,1,9,fresh_frozen_plasma,plasma,-25,365,45.0,A_neg,2024,11,199,261,193,136,0.86,8.9,17,10,0,0,0,not_applicable,2.0,0,0,0,1,0
64,national_blood_centre,BB_0019,peri_urban,VNRD_centralised,1,1,1,1,5,platelet_concentrate,platelets,22,5,60.0,O_neg,2024,4,191,268,191,120,0.92,3.2,6,24,1,1,1,collection_campaign_failed,0.5,0,0,1,1,1
65,national_blood_centre,BB_0041,urban,VNRD_centralised,1,1,1,1,4,cryoprecipitate,plasma_derived,-25,365,50.0,O_pos,2023,4,196,244,196,150,0.87,2.6,5,10,0,0,0,not_applicable,0.5,0,0,0,1,1
66,national_blood_centre,BB_0115,peri_urban,VNRD_centralised,1,1,1,1,8,group_O_neg_emergency,red_cells,35,42,65.0,O_pos,2024,10,193,229,193,144,0.88,6.7,12,27,1,0,0,not_applicable,0.8,0,0,0,1,1
67,national_blood_centre,BB_0020,rural,VNRD_centralised,1,1,1,1,6,whole_blood,red_cells,35,42,40.0,O_pos,2023,4,185,239,185,124,0.81,2.0,3,28,1,0,0,not_applicable,0.5,0,0,0,1,1
68,national_blood_centre,BB_0142,peri_urban,VNRD_centralised,1,1,1,1,11,packed_RBC,red_cells,35,42,55.0,A_pos,2021,3,226,209,157,118,0.82,4.9,11,27,1,0,0,not_applicable,0.5,0,0,0,1,1
69,national_blood_centre,BB_0090,rural,VNRD_centralised,1,1,1,1,12,fresh_frozen_plasma,plasma,-25,365,45.0,AB_neg,2024,12,178,265,178,137,0.99,6.5,11,29,1,0,0,not_applicable,0.6,1,0,0,1,1
70,national_blood_centre,BB_0113,urban,VNRD_centralised,1,1,1,1,8,platelet_concentrate,platelets,22,5,60.0,AB_pos,2024,4,182,233,182,130,1.0,6.2,11,15,1,0,0,not_applicable,1.6,0,0,0,1,1
71,national_blood_centre,BB_0011,urban,VNRD_centralised,1,1,1,1,8,cryoprecipitate,plasma_derived,-25,365,50.0,AB_neg,2023,8,219,278,219,145,0.84,4.1,8,12,0,0,0,not_applicable,1.2,0,0,0,1,1
72,national_blood_centre,BB_0016,peri_urban,VNRD_centralised,1,1,1,1,8,group_O_neg_emergency,red_cells,35,42,65.0,O_pos,2022,5,189,235,189,126,0.9,4.5,8,23,1,0,0,not_applicable,2.4,2,0,0,1,1
73,national_blood_centre,BB_0081,urban,VNRD_centralised,1,1,1,1,12,whole_blood,red_cells,35,42,40.0,A_pos,2022,12,218,246,190,124,0.85,4.9,10,25,1,0,0,not_applicable,1.1,1,0,0,1,1
74,national_blood_centre,BB_0104,peri_urban,VNRD_centralised,1,1,1,1,1,packed_RBC,red_cells,35,42,55.0,A_neg,2024,1,211,249,192,148,1.0,6.7,14,0,1,0,0,not_applicable,0.7,0,0,0,1,1
75,national_blood_centre,BB_0016,urban,VNRD_centralised,1,1,1,1,4,fresh_frozen_plasma,plasma,-25,365,45.0,O_pos,2024,10,187,253,187,160,0.98,6.4,11,25,0,0,0,not_applicable,0.5,0,0,0,1,1
76,national_blood_centre,BB_0078,urban,VNRD_centralised,1,1,1,1,5,platelet_concentrate,platelets,22,5,60.0,O_pos,2024,9,188,247,188,165,0.98,7.5,14,25,1,0,0,not_applicable,1.3,1,0,0,1,1
77,national_blood_centre,BB_0053,urban,VNRD_centralised,1,1,1,1,7,cryoprecipitate,plasma_derived,-25,365,50.0,A_pos,2024,7,188,221,187,136,1.0,2.1,3,20,1,1,4,collection_campaign_failed,0.5,2,0,14,1,1
78,national_blood_centre,BB_0080,peri_urban,VNRD_centralised,1,1,1,1,7,group_O_neg_emergency,red_cells,35,42,65.0,B_neg,2021,12,186,225,186,126,0.95,4.7,8,19,1,0,0,not_applicable,0.7,2,0,0,1,1
79,national_blood_centre,BB_0101,rural,VNRD_centralised,1,1,1,1,5,whole_blood,red_cells,35,42,40.0,O_pos,2023,10,203,260,203,163,0.86,0.5,1,27,1,0,0,not_applicable,1.5,0,0,0,1,1
80,national_blood_centre,BB_0003,rural,VNRD_centralised,1,1,1,1,8,packed_RBC,red_cells,35,42,55.0,O_pos,2022,9,195,250,179,116,0.96,4.3,8,14,1,0,0,not_applicable,0.7,0,0,0,1,0
81,national_blood_centre,BB_0139,urban,VNRD_centralised,1,1,1,1,8,fresh_frozen_plasma,plasma,-25,365,45.0,O_pos,2024,11,228,257,202,112,0.82,1.1,2,25,1,0,0,not_applicable,0.5,0,0,0,1,1
82,national_blood_centre,BB_0115,rural,VNRD_centralised,1,1,1,1,8,platelet_concentrate,platelets,22,5,60.0,AB_pos,2023,8,212,250,193,149,0.95,7.4,15,18,1,0,0,not_applicable,0.5,0,0,0,1,0
83,national_blood_centre,BB_0049,peri_urban,VNRD_centralised,1,1,1,1,3,cryoprecipitate,plasma_derived,-25,365,50.0,A_pos,2023,4,211,255,168,129,1.0,5.4,11,19,0,0,0,not_applicable,1.7,1,0,0,1,1
84,national_blood_centre,BB_0021,urban,VNRD_centralised,1,1,1,1,3,group_O_neg_emergency,red_cells,35,42,65.0,O_pos,2022,12,184,245,184,157,0.86,0.5,0,27,0,0,0,not_applicable,0.5,1,0,0,1,1
85,national_blood_centre,BB_0016,peri_urban,VNRD_centralised,1,1,1,1,11,whole_blood,red_cells,35,42,40.0,B_pos,2024,2,236,280,221,125,1.0,11.8,27,35,1,0,0,not_applicable,1.5,0,0,0,1,1
86,national_blood_centre,BB_0092,rural,VNRD_centralised,1,1,1,1,17,packed_RBC,red_cells,35,42,55.0,A_pos,2021,3,188,245,185,120,0.93,7.5,14,10,1,0,0,not_applicable,0.6,0,0,0,1,1
87,national_blood_centre,BB_0034,urban,VNRD_centralised,1,1,1,1,11,fresh_frozen_plasma,plasma,-25,365,45.0,A_pos,2024,7,195,232,195,157,0.94,2.1,4,14,1,0,0,not_applicable,0.8,0,0,0,1,0
88,national_blood_centre,BB_0011,urban,VNRD_centralised,1,1,1,1,5,platelet_concentrate,platelets,22,5,60.0,A_pos,2023,3,214,246,207,157,0.91,4.2,8,25,1,0,0,not_applicable,0.5,0,0,0,1,1
89,national_blood_centre,BB_0009,peri_urban,VNRD_centralised,1,1,1,1,8,cryoprecipitate,plasma_derived,-25,365,50.0,O_neg,2021,7,188,268,188,167,1.0,6.5,12,23,1,0,0,not_applicable,0.5,0,0,0,1,0
90,national_blood_centre,BB_0076,peri_urban,VNRD_centralised,1,1,1,1,10,group_O_neg_emergency,red_cells,35,42,65.0,O_pos,2021,6,179,243,179,127,0.86,4.5,8,37,1,0,0,not_applicable,1.2,1,0,0,1,1
91,national_blood_centre,BB_0051,urban,VNRD_centralised,1,1,1,1,5,whole_blood,red_cells,35,42,40.0,O_pos,2022,12,208,240,189,148,1.0,7.6,15,17,0,0,0,not_applicable,0.5,0,0,0,1,1
92,national_blood_centre,BB_0020,urban,VNRD_centralised,1,1,1,1,9,packed_RBC,red_cells,35,42,55.0,O_pos,2022,3,187,237,187,139,0.89,3.7,6,36,0,0,0,not_applicable,3.2,0,0,0,1,1
93,national_blood_centre,BB_0147,urban,VNRD_centralised,1,1,1,1,7,fresh_frozen_plasma,plasma,-25,365,45.0,A_pos,2023,5,180,239,180,125,0.8,7.3,13,28,1,1,1,seasonal_low_donation,0.5,0,0,3,1,1
94,national_blood_centre,BB_0082,urban,VNRD_centralised,1,1,1,1,11,platelet_concentrate,platelets,22,5,60.0,B_pos,2023,12,209,251,199,177,1.0,5.7,11,16,0,1,1,collection_campaign_failed,0.5,0,0,3,1,1
95,national_blood_centre,BB_0077,urban,VNRD_centralised,1,1,1,1,7,cryoprecipitate,plasma_derived,-25,365,50.0,AB_pos,2022,8,214,240,185,159,0.95,5.9,12,31,1,0,0,not_applicable,1.3,0,0,0,1,1
96,national_blood_centre,BB_0049,rural,VNRD_centralised,1,1,1,1,9,group_O_neg_emergency,red_cells,35,42,65.0,O_pos,2023,3,200,257,200,105,0.99,10.8,21,39,1,1,1,demand_surge_obstetric,0.5,1,1,0,1,1
97,national_blood_centre,BB_0123,urban,VNRD_centralised,1,1,1,1,8,whole_blood,red_cells,35,42,40.0,O_pos,2021,8,211,273,211,173,1.0,1.5,3,33,1,0,0,not_applicable,4.8,0,0,0,1,1
98,national_blood_centre,BB_0062,urban,VNRD_centralised,1,1,1,1,9,packed_RBC,red_cells,35,42,55.0,O_pos,2022,2,206,278,206,126,0.87,4.6,9,18,1,0,0,not_applicable,0.5,1,0,0,1,1
99,national_blood_centre,BB_0069,urban,VNRD_centralised,1,1,1,1,8,fresh_frozen_plasma,plasma,-25,365,45.0,O_pos,2024,8,198,261,198,109,1.0,4.2,8,31,1,0,0,not_applicable,0.6,1,0,0,1,1
100,national_blood_centre,BB_0112,rural,VNRD_centralised,1,1,1,1,8,platelet_concentrate,platelets,22,5,60.0,O_pos,2024,7,211,258,211,168,0.96,4.7,9,16,1,0,0,not_applicable,0.5,0,0,0,1,1
101,national_blood_centre,BB_0149,urban,VNRD_centralised,1,1,1,1,6,cryoprecipitate,plasma_derived,-25,365,50.0,A_pos,2024,4,197,226,190,189,0.97,4.1,8,23,1,1,2,power_outage_storage,0.7,1,1,0,1,1
102,national_blood_centre,BB_0121,urban,VNRD_centralised,1,1,1,1,7,group_O_neg_emergency,red_cells,35,42,65.0,A_pos,2023,2,208,234,194,156,0.85,3.4,7,33,1,1,1,seasonal_low_donation,0.5,0,0,0,1,1
103,national_blood_centre,BB_0022,urban,VNRD_centralised,1,1,1,1,6,whole_blood,red_cells,35,42,40.0,O_pos,2022,2,227,278,227,155,0.96,3.1,7,21,1,0,0,not_applicable,0.8,1,0,0,1,1
104,national_blood_centre,BB_0038,urban,VNRD_centralised,1,1,1,1,9,packed_RBC,red_cells,35,42,55.0,A_pos,2023,5,197,251,185,148,1.0,7.0,13,17,0,0,0,not_applicable,0.7,0,0,0,1,1
105,national_blood_centre,BB_0045,rural,VNRD_centralised,1,1,1,1,8,fresh_frozen_plasma,plasma,-25,365,45.0,O_pos,2023,5,165,259,165,100,0.87,5.3,8,10,1,0,0,not_applicable,0.5,1,0,0,1,1
106,national_blood_centre,BB_0027,urban,VNRD_centralised,1,1,1,1,4,platelet_concentrate,platelets,22,5,60.0,O_pos,2022,6,206,246,194,119,1.0,11.7,24,35,0,0,0,not_applicable,1.2,0,0,0,1,0
107,national_blood_centre,BB_0071,urban,VNRD_centralised,1,1,1,1,4,cryoprecipitate,plasma_derived,-25,365,50.0,A_pos,2021,4,202,240,202,134,0.98,5.8,11,29,1,0,0,not_applicable,1.4,1,0,0,1,1
108,national_blood_centre,BB_0087,rural,VNRD_centralised,1,1,1,1,4,group_O_neg_emergency,red_cells,35,42,65.0,A_pos,2024,3,191,242,178,132,0.92,2.5,4,33,0,0,0,not_applicable,0.5,0,0,0,1,1
109,national_blood_centre,BB_0030,urban,VNRD_centralised,1,1,1,1,11,whole_blood,red_cells,35,42,40.0,O_pos,2023,6,221,269,215,164,1.0,11.2,24,36,1,0,0,not_applicable,1.7,0,0,0,1,1
110,national_blood_centre,BB_0144,rural,VNRD_centralised,1,1,1,1,5,packed_RBC,red_cells,35,42,55.0,B_pos,2024,7,175,259,175,136,1.0,5.2,9,15,1,0,0,not_applicable,0.7,0,0,0,1,1
111,national_blood_centre,BB_0081,urban,VNRD_centralised,1,1,1,1,8,fresh_frozen_plasma,plasma,-25,365,45.0,O_pos,2022,7,201,271,201,143,0.68,3.1,6,18,1,0,0,not_applicable,0.5,0,0,0,1,1
112,national_blood_centre,BB_0008,urban,VNRD_centralised,1,1,1,1,8,platelet_concentrate,platelets,22,5,60.0,O_pos,2024,1,222,265,222,175,0.95,3.5,7,9,1,0,0,not_applicable,2.5,0,0,0,1,1
113,national_blood_centre,BB_0070,peri_urban,VNRD_centralised,1,1,1,1,16,cryoprecipitate,plasma_derived,-25,365,50.0,B_pos,2023,5,181,260,181,138,1.0,5.0,9,20,1,0,0,not_applicable,0.6,1,0,0,1,0
114,national_blood_centre,BB_0090,rural,VNRD_centralised,1,1,1,1,11,group_O_neg_emergency,red_cells,35,42,65.0,O_pos,2021,9,183,249,183,150,1.0,2.5,4,24,1,0,0,not_applicable,1.8,1,0,0,1,1
